Id,States/UTs,District,Year,Murder,Rape,Kidnapping_Abduction,Dacoity,Robbery,Theft,Riots,Dowry_Deaths,Assault_on_Women,major_crimes
33,Arunachal Pradesh,Siang East,2026,5,11,1,0,3,49,0,0,21,245
34,Arunachal Pradesh,Siang Upper,2026,1,1,0,1,0,8,0,0,1,40
35,Arunachal Pradesh,Siang West,2026,10,6,0,0,4,29,4,0,11,249
36,Arunachal Pradesh,Subansiri Lower,2026,4,1,0,1,10,18,3,0,6,160
37,Arunachal Pradesh,Subansiri Upper,2026,3,5,0,1,5,33,4,0,16,234
38,Arunachal Pradesh,Tawang,2026,1,0,0,0,0,14,0,0,1,40
39,Arunachal Pradesh,Tirap,2026,2,3,3,0,3,12,0,0,2,117
40,Arunachal Pradesh,Total,2026,86,83,51,12,61,498,33,1,121,2843
41,Assam,Barpeta,2026,46,143,0,9,5,448,306,21,556,9056
42,Assam,Baska,2026,31,26,0,5,16,124,0,4,27,853
43,Assam,Bongaigaon,2026,17,31,0,3,12,190,15,4,8,1789
44,Assam,Cachar,2026,58,81,0,9,24,756,202,14,50,5640
45,Assam,Chirang,2026,37,29,0,3,6,95,19,7,33,863
46,Assam,Darrang,2026,33,111,0,6,17,363,82,11,453,3901
47,Assam,Dhemaji,2026,18,45,0,3,15,106,0,3,51,1068
48,Assam,Dhubri,2026,58,193,0,23,21,432,531,10,193,7153
49,Assam,Dibrugarh,2026,77,67,0,6,43,826,12,5,105,3108
50,Assam,G. R. P.,2026,9,1,0,3,2,187,5,0,0,319
51,Assam,Goalpara,2026,44,108,0,21,23,266,52,8,121,2623
52,Assam,Golaghat,2026,88,74,0,11,41,365,29,7,74,2932
53,Assam,Guwahati City,2026,84,100,0,20,247,3095,155,11,143,12216
54,Assam,Hailakandi,2026,24,77,0,3,3,178,287,4,23,1940
55,Assam,Jorhat,2026,30,36,0,8,76,518,7,6,157,3732
56,Assam,Kamrup,2026,65,77,0,14,63,727,0,1,15,2785
57,Assam,Karbi Anglong,2026,38,23,0,3,10,181,6,0,26,960
58,Assam,Karimganj,2026,33,75,0,14,8,199,57,13,10,2827
59,Assam,Kokrajhar,2026,60,45,0,5,7,229,10,3,47,1419
60,Assam,Lakhimpur,2026,40,67,0,1,7,236,37,4,55,2872
61,Assam,Morigaon,2026,28,81,0,8,12,234,130,7,328,2557
62,Assam,N. C. Hills,2026,76,6,0,0,5,46,4,0,0,299
63,Assam,Nagaon,2026,104,187,0,55,127,735,485,22,350,8399
64,Assam,Nalbari,2026,27,41,0,18,114,225,23,0,0,2122
65,Assam,Sibsagar,2026,80,44,0,3,42,599,31,6,153,4236
66,Assam,Sonitpur,2026,110,112,0,4,27,566,90,5,20,3906
67,Assam,Tinsukia,2026,90,66,0,6,45,679,47,3,66,3309
68,Assam,Udalguri,2026,46,34,0,3,20,132,18,9,35,1453
69,Assam,Total,2026,1451,1980,0,267,1038,12737,2640,188,3099,94337
70,Bihar,Araria,2026,53,35,0,16,28,310,306,17,1,3898
71,Bihar,Arwal,2026,25,6,0,5,8,78,82,11,4,991
72,Bihar,Aurangabad,2026,74,12,3,33,27,352,250,28,29,3079
73,Bihar,Bagaha,2026,21,14,20,2,8,147,123,7,38,1860
74,Bihar,Banka,2026,59,22,2,11,19,143,195,23,3,2505
75,Bihar,Begusarai,2026,121,30,48,26,60,598,461,28,37,5196
76,Bihar,Bettiah,2026,75,33,0,7,11,497,508,39,0,4712
77,Bihar,Bhabhua,2026,56,12,26,8,21,344,97,12,0,2267
78,Bihar,Bhagalpur,2026,102,52,35,13,42,677,348,20,31,4763
79,Bihar,Bhojpur,2026,116,32,13,12,23,520,205,46,7,5488
80,Bihar,Buxar,2026,56,16,14,6,32,438,358,24,13,3284
81,Bihar,Darbhanga,2026,71,50,0,12,36,585,621,30,8,5368
82,Bihar,Gaya,2026,145,48,0,50,77,1366,543,63,0,7232
83,Bihar,Gopalganj,2026,87,14,0,10,36,276,398,33,0,3879
84,Bihar,Jamalpur Railway,2026,9,0,0,3,3,195,1,0,3,298
85,Bihar,Jamui,2026,61,23,4,8,33,124,133,21,10,1699
86,Bihar,Jehanabad,2026,38,10,23,8,30,215,202,22,0,1968
87,Bihar,Katihar,2026,70,65,0,16,33,447,238,14,0,3415
88,Bihar,Katihar Railway,2026,10,0,0,1,8,182,4,0,11,313
89,Bihar,Khagaria,2026,52,14,13,10,19,165,172,17,2,2589
90,Bihar,Kishanganj,2026,46,64,14,7,12,261,171,12,22,1982
91,Bihar,Lakhisarai,2026,46,10,10,6,20,181,193,8,63,1728
92,Bihar,Madhepura,2026,44,10,8,3,37,185,225,8,8,2426
93,Bihar,Madhubani,2026,74,41,21,23,33,410,406,34,9,5113
94,Bihar,Motihari,2026,146,31,0,22,25,660,944,75,0,9490
95,Bihar,Munger,2026,46,11,9,4,28,199,195,8,5,1778
96,Bihar,Muzaffarpur,2026,185,44,0,28,134,2097,659,178,166,9373
97,Bihar,Muzaffarpur Railway,2026,18,2,6,4,1,316,7,2,1,596
98,Bihar,Nalanda,2026,107,29,51,9,58,464,328,59,4,6871
99,Bihar,Naugachia,2026,37,10,0,4,16,76,84,10,3,1732
100,Bihar,Nawadah,2026,84,22,14,7,61,269,338,22,10,3408
101,Bihar,Patna,2026,317,86,0,45,177,3952,636,83,0,19804
102,Bihar,Patna Railway,2026,23,1,0,4,10,803,5,5,13,1216
103,Bihar,Purnea,2026,75,66,0,9,37,449,321,26,30,5723
104,Bihar,Rohtas,2026,115,22,12,11,31,726,294,54,0,5197
105,Bihar,Saharsa,2026,41,14,0,1,27,289,549,19,0,3189
106,Bihar,Samastipur,2026,122,38,79,18,61,567,380,39,0,5664
107,Bihar,Saran,2026,144,37,0,16,53,617,442,83,0,5586
108,Bihar,Sheikhpura,2026,26,5,6,4,11,113,136,6,18,1325
109,Bihar,Sheohar,2026,13,8,0,5,9,89,62,6,16,778
110,Bihar,Sitamarhi,2026,91,11,19,20,63,579,345,29,0,5453
111,Bihar,Siwan,2026,103,17,0,12,57,549,425,64,7,5003
112,Bihar,Supaul,2026,64,32,68,6,23,274,573,22,0,3008
113,Bihar,Vaishali,2026,135,28,0,13,62,1104,603,66,0,6337
114,Bihar,Economic Offences Unit,2026,0,0,0,0,0,0,0,0,0,11
115,Bihar,Anti Terrorist Squad,2026,0,0,0,0,0,0,0,0,0,0
116,Bihar,Total,2026,3403,1127,518,538,1600,22888,13566,1373,572,177595
117,Chhattisgarh,Balod,2026,17,34,0,0,4,110,24,4,62,1479
118,Chhattisgarh,Balodbazar,2026,33,40,119,1,19,235,57,8,95,2578
119,Chhattisgarh,Balrampur,2026,55,111,0,0,6,54,11,5,62,1333
120,Chhattisgarh,Bemetra,2026,21,41,0,0,7,119,25,3,56,1645
121,Chhattisgarh,Bilaspur,2026,72,94,188,0,49,488,87,13,211,4870
122,Chhattisgarh,Bizapur,2026,38,6,9,3,0,8,0,0,2,343
123,Chhattisgarh,Dantewara,2026,22,11,8,2,1,25,9,0,9,442
124,Chhattisgarh,Dhamtari,2026,20,36,17,0,4,89,6,3,49,1300
125,Chhattisgarh,Durg,2026,50,84,126,4,56,813,44,12,254,6677
126,Chhattisgarh,Gariyaband,2026,15,42,12,2,4,45,12,3,31,948
127,Chhattisgarh,G. R. P. Raipur,2026,2,0,5,0,9,290,2,1,8,400
128,Chhattisgarh,Jagdalpur,2026,45,32,0,9,5,101,16,1,42,1580
129,Chhattisgarh,Janjgir,2026,48,64,112,2,20,243,102,20,141,3401
130,Chhattisgarh,Jashpur,2026,55,86,35,3,16,75,9,0,48,1225
131,Chhattisgarh,Kabirdham,2026,25,39,77,0,4,93,14,6,84,1573
132,Chhattisgarh,Kanker,2026,47,40,47,1,5,97,22,5,37,1253
133,Chhattisgarh,Kondagaon,2026,33,21,0,2,2,33,17,1,16,782
134,Chhattisgarh,Korba,2026,37,68,0,4,22,240,33,6,83,2572
135,Chhattisgarh,Koriya,2026,40,58,73,0,7,91,28,2,74,1707
136,Chhattisgarh,Mahasamund,2026,22,44,72,1,9,223,39,10,99,2469
137,Chhattisgarh,Mungali,2026,21,10,36,0,5,84,32,6,38,938
138,Chhattisgarh,Narayanpur,2026,5,7,5,3,1,8,0,0,6,222
139,Chhattisgarh,Raigarh,2026,74,121,0,5,21,331,81,7,140,3074
140,Chhattisgarh,Raipur,2026,49,141,226,4,76,1557,82,3,224,8306
141,Chhattisgarh,Rajnandgaon,2026,33,57,50,2,20,264,34,4,100,3255
142,Chhattisgarh,Sarguja,2026,61,94,30,0,16,124,0,4,76,1835
143,Chhattisgarh,Sukma,2026,20,5,5,7,5,10,0,0,5,240
144,Chhattisgarh,Surajpur,2026,38,50,22,3,12,248,23,1,70,1753
145,Chhattisgarh,Total,2026,998,1436,1274,58,405,6098,809,128,2122,58200
146,Goa,North Goa,2026,20,55,84,8,13,733,95,0,146,2805
147,Goa,South Goa,2026,14,37,50,5,19,368,38,0,53,1549
148,Goa,C. I. D.,2026,0,3,0,0,0,53,0,0,3,112
149,Goa,Total,2026,34,95,134,13,32,1154,133,0,202,4466
150,Gujarat,Ahmedabad City,2026,82,100,102,18,261,2589,87,11,162,15286
151,Gujarat,Ahmedabad Rural,2026,27,18,35,9,17,221,40,0,31,4266
152,Gujarat,Amreli,2026,26,7,6,0,17,93,23,0,21,1818
153,Gujarat,Anand,2026,37,12,1,7,31,354,37,0,21,3415
154,Gujarat,Arvalli,2026,28,5,8,4,5,85,6,0,19,3841
155,Gujarat,Banaskantha,2026,51,56,0,18,79,389,71,0,90,4464
156,Gujarat,Bharuch,2026,47,42,12,10,29,406,53,0,49,2981
157,Gujarat,Bhavnagar,2026,39,17,0,13,39,361,54,0,39,3589
158,Gujarat,Botad,2026,13,11,24,2,4,57,9,0,11,783
159,Gujarat,Chhotaudepur,2026,22,15,1,4,6,110,7,0,11,1144
160,Gujarat,C. I. D. Crime,2026,2,0,0,0,0,0,0,0,0,8
161,Gujarat,Dahod,2026,45,27,76,21,37,218,32,0,28,2594
162,Gujarat,Dang,2026,10,4,1,0,0,12,4,1,6,283
163,Gujarat,Devbhumi Dwarka,2026,9,3,1,1,6,47,24,0,14,1106
164,Gujarat,Gandhinagar,2026,20,17,4,2,61,367,48,0,22,7451
165,Gujarat,Gir Somnath,2026,17,17,22,5,20,80,29,1,30,1405
166,Gujarat,Jamnagar,2026,23,34,0,16,17,282,47,1,26,3752
167,Gujarat,Junagadh,2026,13,21,33,5,25,150,40,0,42,2497
168,Gujarat,Kachchh East(G),2026,35,31,0,3,23,345,46,0,34,3349
169,Gujarat,Kachchh West(B),2026,16,18,11,2,15,237,58,0,27,2269
170,Gujarat,Kheda,2026,22,12,68,9,5,173,34,0,29,3614
171,Gujarat,Mahisagar,2026,18,10,8,3,4,32,11,0,15,1040
172,Gujarat,Mehsana,2026,24,6,47,16,66,544,81,0,42,6587
173,Gujarat,Morbi,2026,31,9,8,6,6,177,19,3,17,2332
174,Gujarat,Narmada,2026,12,8,0,0,0,40,10,0,21,664
175,Gujarat,Navsari,2026,19,15,7,7,9,227,19,0,19,1730
176,Gujarat,Panchmahal,2026,34,24,66,6,8,160,23,0,28,2634
177,Gujarat,Patan,2026,17,25,36,14,25,261,28,1,51,2117
178,Gujarat,Porbandar,2026,8,8,17,1,11,57,19,1,18,913
179,Gujarat,Rajkot City,2026,43,17,27,7,91,835,61,0,31,3516
180,Gujarat,Rajkot Rural,2026,24,30,0,7,24,211,44,1,36,2891
181,Gujarat,Sabarkantha,2026,22,10,26,4,20,197,26,0,33,5647
182,Gujarat,Surat City,2026,85,94,123,14,30,1315,40,2,70,4397
183,Gujarat,Surat Rural,2026,52,21,8,13,32,477,26,0,34,3810
184,Gujarat,Surendranagar,2026,34,22,10,8,15,232,55,0,36,2476
185,Gujarat,Tapi,2026,13,15,0,2,3,112,12,0,9,986
186,Gujarat,Vadodara City,2026,23,23,22,10,117,1242,60,1,109,12651
187,Gujarat,Vadodara Rural,2026,24,11,0,7,7,158,28,0,36,2896
188,Gujarat,Valsad,2026,43,26,55,18,29,567,43,0,27,3072
189,Gujarat,W.Rly  Ahmedabad,2026,9,0,0,0,11,357,0,0,6,454
190,Gujarat,W.Rly Vadodara,2026,5,0,3,4,4,560,0,0,2,657
191,Gujarat,Total,2026,1124,841,868,296,1209,14337,1354,23,1352,131385
192,Haryana,Ambala (Rural),2026,15,25,0,2,4,194,0,9,17,1098
193,Haryana,Ambala (Urban),2026,25,31,0,0,16,430,6,8,23,1977
194,Haryana,Bhiwani,2026,62,44,0,7,54,822,219,12,99,4604
195,Haryana,Faridabad,2026,64,101,3,7,40,2079,207,20,94,6000
196,Haryana,Fatehabad,2026,20,27,0,4,16,300,92,7,56,2431
197,Haryana,G. R. P.,2026,26,1,0,1,31,375,4,8,17,1139
198,Haryana,Gurgaon,2026,96,117,72,28,119,4815,172,19,155,11444
199,Haryana,Hissar,2026,66,55,1,12,39,1191,164,14,91,5608
200,Haryana,Jhajjar,2026,69,56,0,3,28,427,32,25,47,2100
201,Haryana,Jind,2026,49,23,0,6,37,533,150,12,67,2892
202,Haryana,Kaithal,2026,47,33,1,2,11,352,0,10,58,1922
203,Haryana,Karnal,2026,53,100,0,6,24,976,21,17,95,4047
204,Haryana,Kurukshetra,2026,30,35,0,4,21,631,0,6,59,2581
205,Haryana,Mahendergarh,2026,38,24,0,8,26,445,93,15,78,2262
206,Haryana,Mewat,2026,33,85,4,13,27,452,224,5,86,2414
207,Haryana,Palwal,2026,52,49,0,9,53,844,243,16,96,3247
208,Haryana,Panchkula,2026,14,36,0,7,73,357,0,5,30,1594
209,Haryana,Panipat,2026,53,64,2,11,49,1207,110,18,97,4654
210,Haryana,Rewari,2026,27,41,0,10,53,670,64,11,65,2781
211,Haryana,Rohtak,2026,76,68,2,9,43,984,110,16,98,3820
212,Haryana,Sirsa,2026,36,49,63,8,25,543,19,5,86,3482
213,Haryana,Sonipat,2026,110,60,0,9,54,940,10,28,98,4311
214,Haryana,Yamunanagar,2026,45,50,1,6,31,747,4,7,76,3347
215,Haryana,Irrigation & Power,2026,0,0,0,0,0,0,0,0,0,192
216,Haryana,Total,2026,1106,1174,149,172,874,20314,1944,293,1688,79947
217,Himachal Pradesh,Baddi,2026,13,9,5,0,3,41,42,0,15,651
218,Himachal Pradesh,Bilaspur,2026,4,15,3,0,0,39,36,0,72,1185
219,Himachal Pradesh,Chamba,2026,8,23,0,0,1,31,38,0,27,761
220,Himachal Pradesh,C. I. D.,2026,0,1,0,0,0,0,0,0,0,4
221,Himachal Pradesh,G. R. P.,2026,1,0,0,0,0,1,0,0,0,9
222,Himachal Pradesh,Hamirpur,2026,12,13,18,0,0,32,14,0,32,845
223,Himachal Pradesh,Kangra,2026,26,43,0,1,2,107,78,0,79,2698
224,Himachal Pradesh,Kinnaur,2026,2,10,4,0,1,11,6,0,5,211
225,Himachal Pradesh,Kullu,2026,9,16,0,0,0,49,26,0,35,914
226,Himachal Pradesh,Lahaul & Spiti,2026,2,0,1,0,0,1,0,0,0,84
227,Himachal Pradesh,Mandi,2026,15,47,13,1,0,57,51,0,101,1939
228,Himachal Pradesh,Shimla,2026,18,39,13,0,6,116,78,0,64,1957
229,Himachal Pradesh,Sirmaur,2026,6,28,0,0,2,48,41,0,46,872
230,Himachal Pradesh,Solan,2026,5,16,10,1,0,73,30,0,31,947
231,Himachal Pradesh,Una,2026,9,23,2,1,1,46,38,1,31,1083
232,Himachal Pradesh,Total,2026,130,283,69,4,16,652,478,1,538,14160
233,Jammu & Kashmir,Anantnag,2026,9,19,35,0,0,90,180,0,123,1307
234,Jammu & Kashmir,Awantipora,2026,9,6,0,0,3,31,15,0,19,389
235,Jammu & Kashmir,Bandipora,2026,2,4,0,0,1,34,65,0,53,618
236,Jammu & Kashmir,Baramulla,2026,2,10,33,0,11,81,151,0,83,1110
237,Jammu & Kashmir,Budgam,2026,11,9,0,0,2,78,145,0,30,1026
238,Jammu & Kashmir,Crime Jammu,2026,0,0,0,0,0,0,0,0,0,14
239,Jammu & Kashmir,Crime Srinagar,2026,1,1,0,0,0,0,0,0,0,43
240,Jammu & Kashmir,Doda,2026,3,23,16,0,0,44,3,0,60,667
241,Jammu & Kashmir,Ganderbal,2026,2,0,0,1,0,26,50,0,54,473
242,Jammu & Kashmir,Handwara,2026,3,3,0,0,2,44,53,0,80,562
243,Jammu & Kashmir,Jammu,2026,21,68,0,1,6,399,71,4,81,4238
244,Jammu & Kashmir,Kargil,2026,1,2,0,0,0,3,11,0,0,105
245,Jammu & Kashmir,Kathua,2026,13,18,33,0,0,69,39,1,43,1289
246,Jammu & Kashmir,Kishtwar,2026,0,6,18,0,0,21,2,0,23,388
247,Jammu & Kashmir,Kulgam,2026,4,7,39,0,12,48,78,0,171,856
248,Jammu & Kashmir,Kupwara,2026,7,8,0,0,0,34,159,0,61,710
249,Jammu & Kashmir,Leh,2026,1,6,0,0,0,8,4,0,3,166
250,Jammu & Kashmir,Poonch,2026,8,13,10,0,0,30,85,0,42,842
251,Jammu & Kashmir,Pulwama,2026,5,7,20,0,5,20,63,0,20,354
252,Jammu & Kashmir,Railways Jammu,2026,1,0,0,0,0,7,0,0,1,16
253,Jammu & Kashmir,Railways Kashmir,2026,0,0,0,0,0,1,3,0,2,13
254,Jammu & Kashmir,Railways Katra,2026,0,0,0,0,0,1,0,0,0,6
255,Jammu & Kashmir,Rajouri,2026,18,39,0,3,1,56,34,0,65,1751
256,Jammu & Kashmir,Ramban,2026,3,8,8,0,0,41,2,0,25,674
257,Jammu & Kashmir,Reasi,2026,1,16,14,0,0,34,28,0,18,753
258,Jammu & Kashmir,Samba,2026,4,7,6,0,1,33,34,0,10,653
259,Jammu & Kashmir,Shopian,2026,5,1,9,0,6,49,74,0,30,501
260,Jammu & Kashmir,Sopore,2026,9,8,0,0,3,62,45,0,83,634
261,Jammu & Kashmir,Srinagar,2026,5,12,37,1,36,375,130,0,218,2533
262,Jammu & Kashmir,Udhampur,2026,8,30,9,0,0,54,3,0,23,1157
263,Jammu & Kashmir,Total,2026,156,331,287,6,89,1773,1527,5,1421,23848
264,Jharkhand,Bokaro,2026,43,63,0,6,41,752,136,18,0,3145
265,Jharkhand,Chaibasa,2026,120,54,0,11,16,163,0,2,22,954
266,Jharkhand,Chatra,2026,59,18,0,6,8,141,86,62,19,1284
267,Jharkhand,Deoghar,2026,43,25,0,10,17,343,91,28,21,2300
268,Jharkhand,Dhanbad,2026,79,54,0,34,48,1052,225,28,54,4929
269,Jharkhand,Dhanbad Railway,2026,13,0,0,13,7,221,0,2,6,365
270,Jharkhand,Dumka,2026,59,39,9,10,5,239,62,11,9,1592
271,Jharkhand,Garhwa,2026,67,50,0,3,30,154,143,25,19,2582
272,Jharkhand,Giridih,2026,72,58,0,20,35,284,199,40,39,3491
273,Jharkhand,Godda,2026,50,34,0,3,6,147,74,3,0,1710
274,Jharkhand,Gumla,2026,187,67,2,6,34,140,13,1,15,1200
275,Jharkhand,Hazaribagh,2026,60,52,12,25,25,459,97,23,50,3039
276,Jharkhand,Jamshedpur,2026,100,55,8,11,43,909,99,13,47,3985
277,Jharkhand,Jamshedpur Railway,2026,11,0,5,0,4,118,0,0,2,188
278,Jharkhand,Jamtara,2026,18,27,7,2,6,123,111,10,29,1032
279,Jharkhand,Khunti,2026,84,7,2,1,19,38,36,2,3,419
280,Jharkhand,Koderma,2026,25,15,6,11,11,125,78,16,0,1344
281,Jharkhand,Latehar,2026,41,25,37,6,9,107,46,8,0,859
282,Jharkhand,Lohardagga,2026,40,43,0,3,13,75,5,2,5,536
283,Jharkhand,Pakur,2026,30,55,3,1,5,74,58,1,12,839
284,Jharkhand,Palamu,2026,77,44,5,22,43,203,122,19,15,2556
285,Jharkhand,Ramgarh,2026,40,48,4,21,10,298,103,11,20,1488
286,Jharkhand,Ranchi,2026,133,75,0,11,50,518,90,13,1,2447
287,Jharkhand,Sahebganj,2026,72,87,0,3,9,116,69,4,20,1522
288,Jharkhand,Saraikela,2026,58,31,0,3,11,207,18,7,27,1108
289,Jharkhand,Simdega,2026,77,24,0,2,16,40,14,1,5,421
290,Jharkhand,Total,2026,1658,1050,100,244,521,7046,1975,350,440,45335
291,Karnataka,Bagalkot,2026,39,22,0,1,17,161,208,4,96,2131
292,Karnataka,Bengaluru City,2026,241,104,607,51,1067,11455,388,57,680,31892
293,Karnataka,Bengaluru District,2026,78,60,14,25,145,667,248,22,135,5567
294,Karnataka,Belagavi District,2026,75,59,6,19,40,326,447,4,233,4851
295,Karnataka,Ballari,2026,58,48,8,6,49,380,233,12,121,3304
296,Karnataka,Bidar,2026,44,33,6,3,38,250,227,10,82,4333
297,Karnataka,Vijayapura,2026,64,45,26,4,48,151,276,7,127,2931
298,Karnataka,Chikkaballapura,2026,32,36,0,6,21,231,181,10,106,2405
299,Karnataka,Chamarajnagar,2026,28,11,9,1,7,138,87,5,92,1607
300,Karnataka,Chikkamagaluru,2026,39,30,34,10,34,215,97,5,172,2878
301,Karnataka,Chitradurga,2026,47,24,0,4,24,266,244,17,241,3981
302,Karnataka,Dakshina Kannada,2026,26,40,3,4,19,91,148,1,70,2087
303,Karnataka,Davanagere,2026,45,40,30,7,45,439,290,9,211,3635
304,Karnataka,Dharwad,2026,24,23,8,4,9,69,127,3,32,1219
305,Karnataka,Gadag,2026,12,15,0,2,14,82,92,2,31,1109
306,Karnataka,Kalaburgi,2026,75,53,29,4,67,307,1,14,145,4448
307,Karnataka,Hassan,2026,64,63,0,11,33,344,157,11,251,5182
308,Karnataka,Haveri,2026,28,40,0,10,12,253,250,10,94,2201
309,Karnataka,Hubballi Dharwad City,2026,20,21,0,4,72,321,109,7,31,1936
310,Karnataka,K.G.F.,2026,13,20,6,2,19,70,40,1,21,777
311,Karnataka,Kodagu,2026,33,25,0,1,9,128,32,1,60,1824
312,Karnataka,Kolar,2026,35,32,0,2,42,184,220,8,67,2188
313,Karnataka,Koppal,2026,26,28,0,5,12,188,175,4,34,1883
314,Karnataka,Mandya,2026,41,36,50,17,61,421,230,11,278,4984
315,Karnataka,Mangaluru City,2026,30,25,0,18,57,230,128,1,72,3039
316,Karnataka,Mysuru City,2026,24,41,0,6,73,542,72,3,87,2766
317,Karnataka,Mysuru District,2026,52,41,0,5,28,496,266,20,201,4118
318,Karnataka,Raichur,2026,53,55,12,3,10,209,306,5,198,3128
319,Karnataka,K.Railways,2026,13,1,0,8,96,712,0,1,9,948
320,Karnataka,Ramanagar,2026,73,43,37,13,81,454,221,12,142,4249
321,Karnataka,Shimoga,2026,50,58,38,12,60,326,350,8,404,6043
322,Karnataka,Tumakuru,2026,55,36,0,7,50,293,197,15,242,4523
323,Karnataka,Udupi,2026,22,28,11,6,38,126,79,3,111,2496
324,Karnataka,Uttara Kannada,2026,21,25,29,4,29,111,103,0,154,2783
325,Karnataka,Yadgiri,2026,31,41,0,2,13,68,122,2,148,1496
326,Karnataka,Belagavi City,2026,25,22,3,5,77,315,169,8,85,2396
327,Karnataka,Total,2026,1636,1324,966,292,2516,21019,6520,313,5263,137338
328,Kerala,Alapuzha,2026,19,61,0,13,54,226,238,0,245,11033
329,Kerala,Ernakulam Commr.,2026,13,64,0,2,17,331,57,0,158,17088
330,Kerala,Ernakulam Rural,2026,19,71,0,3,32,363,321,0,224,20185
331,Kerala,Idukki,2026,20,71,0,0,26,144,216,2,186,5264
332,Kerala,Kannur,2026,22,59,0,1,83,149,745,1,222,6716
333,Kerala,Kasargod,2026,16,59,2,6,32,161,422,0,123,5016
334,Kerala,Kollam Commr.,2026,10,78,0,2,63,143,301,1,287,9314
335,Kerala,Kollam Rural,2026,28,81,0,2,32,161,293,2,240,7910
336,Kerala,Kottayam,2026,17,75,0,6,38,235,186,0,204,17769
337,Kerala,Kozhikode Commr.,2026,8,35,1,0,52,282,220,1,107,4665
338,Kerala,Kozhikode Rural,2026,9,52,0,2,36,203,408,0,226,5391
339,Kerala,Malappuram,2026,19,103,0,1,34,310,682,1,346,18057
340,Kerala,Palakkad,2026,23,88,8,5,52,308,473,7,182,14780
341,Kerala,Pathanamthitta,2026,11,63,0,6,41,228,89,0,163,8533
342,Kerala,Railways,2026,3,0,0,0,12,299,7,0,74,508
343,Kerala,Thrissur Commr.,2026,17,38,0,5,34,165,98,0,109,6548
344,Kerala,Thrissur Rural,2026,24,94,0,1,68,263,278,2,298,20117
345,Kerala,Trivandrum Commr.,2026,13,56,10,1,59,325,226,2,254,12504
346,Kerala,Trivandrum Rural,2026,45,122,7,11,83,338,416,6,581,12024
347,Kerala,Wayanadu,2026,9,75,13,2,21,64,143,0,134,3182
348,Kerala,Crime Branch,2026,22,2,0,2,0,2,1,3,4,185
349,Kerala,Total,2026,367,1347,41,71,869,4700,5820,28,4367,206789
